ip,port
165.225.102.56,10605
165.225.194.74,10605
165.225.226.95,10605
180.97.33.144,80
180.97.34.35,80
117.185.16.253,80
104.129.196.54,10605
111.206.37.244,80
112.80.255.29,80
112.80.255.51,80
,
180.97.104.170,80
88.198.24.108,8080
112.80.248.95,80
165.225.194.92,10605
165.225.8.111,10605
112.80.248.75,80
165.225.208.109,10605
165.225.56.57,10605
165.225.240.112,10605
165.225.38.92,10605
159.12.192.14,10605
165.225.200.18,10605
165.225.76.32,10605
180.149.145.139,80
180.97.33.218,80
,
165.225.200.103,10605
165.225.216.93,10605
165.225.242.106,10605
165.225.8.120,10605
104.129.204.49,10605
165.225.110.86,10605
165.225.92.107,10605
165.225.66.49,10605
165.225.92.110,10605
44.231.67.49,80
165.225.242.94,10605
165.225.38.32,10605
165.225.92.124,10605
104.129.196.99,10605
165.225.196.103,10605
,
172.105.113.134,3128
165.225.192.84,10605
165.225.240.89,10605
165.225.73.34,10605
165.225.206.106,10605
165.225.80.80,10605
165.225.84.49,10605
61.135.185.176,80
104.129.192.155,10605
114.239.211.238,4216
165.225.12.110,10605
61.135.186.80,80
165.225.206.78,10605
165.225.206.82,10605
61.135.169.121,80
,
165.225.12.113,10605
165.225.124.106,10605
165.225.204.13,10605
165.225.208.84,10605
165.225.76.175,10605
165.225.124.93,10605
165.225.196.12,10605
180.149.144.176,80
61.135.186.222,80
165.225.124.14,10605
165.225.226.119,10605
165.225.80.226,10605
165.225.204.111,10605
165.225.26.121,10605
101.4.136.34,81
,
165.225.204.97,10605
165.225.94.99,10605
165.225.10.78,10605
165.225.194.17,10605
165.225.94.101,10605
165.225.206.97,10605
176.9.75.42,8080
183.232.231.133,80
165.225.202.100,10605
207.154.231.213,3128
165.225.208.96,10605
165.225.72.40,10605
165.225.80.59,10605
165.225.72.60,10605
88.198.24.108,3128
,
165.225.38.98,10605
165.225.226.107,10605
165.225.72.76,10605
165.225.206.108,10605
165.225.86.51,10605
180.149.144.108,80
165.225.208.105,10605
176.9.119.170,8080
165.225.12.116,10605
110.164.253.85,8080
165.225.12.91,10605
165.225.50.24,10605
165.225.56.75,10605
165.225.94.12,10605
183.232.231.239,80
,
165.225.20.86,10605
165.225.194.18,10605
165.225.206.83,10605
165.225.106.61,10605
165.225.192.106,10605
61.252.54.66,3128
180.97.33.212,80
61.135.185.20,80
61.135.185.78,80
104.129.199.12,10605
165.225.80.69,10605
165.225.94.92,10605
163.125.255.172,9797
165.225.196.66,10605
165.225.80.237,10605
,
220.181.111.37,80
36.103.223.96,3128
61.135.185.153,80
165.225.196.78,10605
165.225.80.224,10605
165.225.104.41,10605
165.225.12.96,10605
165.225.76.178,10605
165.225.77.134,10605
165.225.8.106,10605
165.225.116.75,10605
165.225.94.89,10605
165.225.196.100,10605
165.225.204.108,10605
165.225.194.102,10605
,
104.129.205.49,10605
165.225.242.105,10605
165.225.80.76,10605
88.198.50.103,8080
185.75.124.70,10605
165.225.35.55,10605
165.225.84.50,10605
211.142.214.221,1080
46.241.120.230,32412
165.225.8.86,10605
203.19.88.59,80
49.231.205.153,80
165.225.222.86,10605
148.251.153.226,3128
5.128.54.68,8080
,
134.122.63.138,80
196.53.25.37,80
183.89.63.31,8080
196.53.25.146,80
47.88.7.18,8088
108.74.113.180,80
165.225.20.87,10605
104.129.196.65,10605
165.225.38.30,10605
165.225.56.118,10605
104.129.196.161,10605
165.225.216.78,10605
165.225.77.131,10605
104.129.192.61,10605
165.225.194.96,10605
,
165.225.202.101,10605
165.225.72.56,10605
165.225.84.61,10605
165.225.222.16,10605
165.225.26.112,10605
165.225.38.71,10605
165.225.26.98,10605
104.129.194.54,10605
165.225.66.54,10605
104.129.194.55,10605
104.129.205.15,10605
165.225.32.50,10605
165.225.94.91,10605
104.129.198.220,10605
165.225.216.101,10605
,
151.80.148.71,3128
165.225.192.74,10605
165.225.36.32,10605
61.135.185.160,80
165.225.110.69,10605
165.225.210.88,10605
185.75.124.91,10605
165.225.104.65,10605
207.154.231.213,8080
165.225.210.12,10605
165.225.26.117,10605
104.129.195.17,10605
165.225.10.82,10605
165.225.200.107,10605
165.225.194.99,10605
,
165.225.204.109,10605
163.177.151.76,80
165.225.56.64,10605
165.225.92.112,10605
104.129.192.56,10605
165.225.110.75,10605
165.225.204.110,10605
165.225.10.109,10605
113.100.209.220,3128
123.125.115.192,80
159.138.20.247,80
165.225.242.97,10605
165.225.112.76,10605
165.225.80.236,10605
202.108.23.174,80
,
159.138.20.247,80
165.225.242.97,10605
165.225.112.76,10605
165.225.80.236,10605
202.108.23.174,80
104.129.196.105,10605
123.125.115.165,80
165.225.114.78,10605
165.225.34.64,10605
165.225.72.79,10605
165.225.204.94,10605
165.225.34.40,10605
165.225.80.229,10605
165.225.194.98,10605
165.225.204.83,10605
,
165.225.204.83,10605
165.225.26.116,10605
61.135.185.172,80
104.129.204.51,10605
117.185.17.177,80
165.225.8.102,10605
34.245.226.55,80
165.225.92.82,10605
165.225.38.87,10605
165.225.72.85,10605
165.225.92.108,10605
180.97.33.78,80
165.225.194.100,10605
165.225.194.16,10605
165.225.88.60,10605
,
165.225.88.60,10605
165.225.116.77,10605
104.129.192.66,10605
165.225.226.108,10605
165.225.94.87,10605
165.225.76.54,10605
165.225.206.87,10605
104.129.192.179,10605
165.225.200.75,10605
165.225.66.50,10605
165.225.192.107,10605
104.129.196.165,10605
165.225.240.99,10605
165.225.76.66,10605
104.129.196.162,10605
,
104.129.196.162,10605
165.225.76.164,10605
165.225.10.80,10605
165.225.106.60,10605
165.225.194.76,10605
165.225.240.102,10605
165.225.73.22,10605
52.144.76.195,80
165.225.8.88,10605
105.27.237.27,80
165.225.94.120,10605
221.232.146.211,808
105.27.238.163,80
165.225.8.15,10605
139.217.110.76,3128
,
105.27.238.163,80
165.225.8.15,10605
139.217.110.76,3128
165.225.124.110,10605
206.189.229.10,3128
165.225.38.77,10605
42.113.52.21,8080
165.225.204.126,10605
165.225.73.27,10605
165.225.200.87,10605
165.225.114.76,10605
165.225.88.64,10605
165.225.240.87,10605
165.225.56.49,10605
165.225.20.113,10605
,
165.225.114.76,10605
165.225.88.64,10605
165.225.240.87,10605
165.225.56.49,10605
165.225.20.113,10605
165.225.202.16,10605
165.225.124.113,10605
165.225.36.56,10605
165.225.8.117,10605
165.225.242.123,10605
165.225.26.111,10605
165.225.104.61,10605
165.225.192.100,10605
165.225.192.108,10605
165.225.8.87,10605
,
165.225.192.100,10605
165.225.192.108,10605
165.225.8.87,10605
165.225.124.92,10605
165.225.240.80,10605
165.225.114.85,10605
165.225.204.128,10605
165.225.26.81,10605
165.225.208.120,10605
165.225.10.106,10605
165.225.26.101,10605
165.225.26.118,10605
165.225.218.107,10605
165.225.38.93,10605
